iter	Passed	Remaining
0	1	110
1	3	173
2	4	150
3	5	140
4	6	132
5	7	124
6	8	118
7	10	118
8	11	119
9	12	116
10	14	113
11	15	110
12	15	105
13	17	107
14	19	108
15	20	106
16	21	104
17	22	101
18	23	98
19	24	96
20	25	95
21	26	93
22	27	90
23	28	88
24	28	86
25	29	84
26	30	82
27	31	81
28	32	80
29	34	79
30	35	78
31	36	77
32	37	75
33	38	73
34	38	72
35	39	70
36	40	69
37	41	67
38	42	66
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	49
52	55	48
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	32
68	71	31
69	72	30
70	73	29
71	74	28
72	74	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	92	11
89	93	10
90	94	9
91	95	8
92	95	7
93	97	6
94	98	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
