iter	Passed	Remaining
0	1	1941
1	3	1611
2	4	1417
3	5	1297
4	5	1187
5	6	1126
6	7	1104
7	8	1084
8	9	1063
9	10	1029
10	11	998
11	11	973
12	12	952
13	13	942
14	14	928
15	15	929
16	16	953
17	17	955
18	18	952
19	19	943
20	19	931
21	20	921
22	21	914
23	22	908
24	23	902
25	23	894
26	24	886
27	25	878
28	26	871
29	26	865
30	27	859
31	28	855
32	29	855
33	30	855
34	30	854
35	31	852
36	32	852
37	33	850
38	34	848
39	35	846
40	36	855
41	37	861
42	38	860
43	39	859
44	40	857
45	41	856
46	42	854
47	43	853
48	43	851
49	44	848
50	45	852
51	46	850
52	47	849
53	48	847
54	49	854
55	50	854
56	51	853
57	52	850
58	53	847
59	54	846
60	54	843
61	55	840
62	56	839
63	57	837
64	58	836
65	60	861
66	61	859
67	62	858
68	63	856
69	64	863
70	66	867
71	67	868
72	68	867
73	69	866
74	70	864
75	71	863
76	71	862
77	72	860
78	73	860
79	74	860
80	75	859
81	76	858
82	77	854
83	78	854
84	79	853
85	80	856
86	81	857
87	82	855
88	83	854
89	84	856
90	85	855
91	86	852
92	87	850
93	87	847
94	88	846
95	89	846
96	90	846
97	91	844
98	92	844
99	93	843
100	94	842
101	95	841
102	96	839
103	97	838
104	98	838
105	99	836
106	100	835
107	100	833
108	101	831
109	102	829
110	103	830
111	104	829
112	105	828
113	106	826
114	107	824
115	107	822
116	108	818
117	109	816
118	109	814
119	110	811
120	111	809
121	112	806
122	112	804
123	113	803
124	114	801
125	115	799
126	115	796
127	116	794
128	117	792
129	118	790
130	119	791
131	120	792
132	121	793
133	122	792
134	123	790
135	124	788
136	124	786
137	125	784
138	126	782
139	127	780
140	127	778
141	128	774
142	128	772
143	129	770
144	130	768
145	131	766
146	131	764
147	132	762
148	133	762
149	134	763
150	135	762
151	136	760
152	137	758
153	137	756
154	138	754
155	139	753
156	139	751
157	140	749
158	141	748
159	142	746
160	142	743
161	143	741
162	143	739
163	144	737
164	145	735
165	146	733
166	146	732
167	147	732
168	148	732
169	149	731
170	150	729
171	151	728
172	152	726
173	152	724
174	153	723
175	154	721
176	154	720
177	155	718
178	156	716
179	156	715
180	157	713
181	158	711
182	159	710
183	159	708
184	160	706
185	161	705
186	162	704
187	162	702
188	163	702
189	164	701
190	165	701
191	166	700
192	167	699
193	167	697
194	168	697
195	169	695
196	170	694
197	171	693
198	171	691
199	172	690
200	173	688
201	174	687
202	174	686
203	175	685
204	176	683
205	177	682
206	177	681
207	178	680
208	179	679
209	180	678
210	181	677
211	181	676
212	182	675
213	183	673
214	184	672
215	184	671
216	185	669
217	186	668
218	186	666
219	187	665
220	188	664
221	189	663
222	190	662
223	190	660
224	191	659
225	192	658
226	192	657
227	193	656
228	194	655
229	195	654
230	196	652
231	196	651
232	197	650
233	198	648
234	198	647
235	199	646
236	200	644
237	200	643
238	201	642
239	202	640
240	203	639
241	203	638
242	204	637
243	205	636
244	206	635
245	206	633
246	207	633
247	208	632
248	209	632
249	210	631
250	211	629
251	211	628
252	212	627
253	213	626
254	213	625
255	214	624
256	215	623
257	216	621
258	216	620
259	217	619
260	218	618
261	219	617
262	219	616
263	220	615
264	221	613
265	222	612
266	222	611
267	223	611
268	224	610
269	225	609
270	226	608
271	226	607
272	227	606
273	228	605
274	229	604
275	229	603
276	230	601
277	231	600
278	232	599
279	232	598
280	233	597
281	234	596
282	234	595
283	235	594
284	236	592
285	237	591
286	237	591
287	238	590
288	239	589
289	240	588
290	241	587
291	241	586
292	242	585
293	243	583
294	243	582
295	244	581
296	245	580
297	246	579
298	246	578
299	247	577
300	248	576
301	249	575
302	249	574
303	250	573
304	251	572
305	251	571
306	252	570
307	253	569
308	254	568
309	254	567
310	255	566
311	256	565
312	257	564
313	257	563
314	258	562
315	259	561
316	260	560
317	260	559
318	261	558
319	262	557
320	263	556
321	263	555
